paper_id,direction
adulyasak2015,min
wangk2020,min
wangy2020,min
alba2013,min
alfieri2020,min
amaldi2013,min
araujo2015,min
araujo2020,min
archetti2007,min
armbruster2012,min
carosi2019,min
bard2002,min
barnhart2000,min
bayani2024,min
belvaux2000,min
bentert2022,min
bergman2019,max
bertsimas2022,min
bertsimas2024,min
bettinelli2017,max
bierwirth2017,min
bode2012,min
bodur2017,min
boland2019,min
bollapragada2001,min
borndorfer2007,min
bragin2022,min
brandao2016,min
bront2009,max
buchheim2018,min
byeon2022,min
caprara1999,max
carvalho1999,min
carvalho2022,min
castro2021,min
chebil2015,max
chebil2019,max
chen1999,min
cherkesly2015,min
colombi2017,max
contreras2011,min
cordeau2006,min
cordeau2014,min
cordeau2019,min
cote2018,min
cunha2021,min
damcikurt2016,max
dayarian2019,min
degraeve2007,min
delage2022,min
delorme2020,min
desaulniers2010,min
desaulniers2014,min
desaulniers2016,min
dienstknecht2024,min
lai2021,max
elci2022,min
engineer2012,min
schwerdfeger2016,min
fischetti1997,min
fischetti1998,max
fischetti2017,min
fleszar2022b,max
samarghandi2017,min
forrest2006,max
fragkos2016,min
fragkos2021,min
eiselt2009,max
freeman2018,max
freling2003,min
frey2017,min
furini2016,max
furini2017,min
furini2019,max
furini2021,min
gamache1999,min
garcia2011,min
gruson2021,min
gschwind2021,min
gualandi2012,min
guo2021,min
hadjar2006,min
hewitt2024,max
hoffman1993,min
hosseinian2020,max
huisman2005,min
ji2019,min
juvin2023,min
kang2021,min
klose2005,min
knueven2020,min
kobayashi2021,min
kobeaga2024,max
kowalczyk2018,min
kowalczyk2024,min
kress2019,min
kreter2018,min
laporte2003,min
lee1996,min
legrain2020,min
legrain2024,min
letelier2022,min
li2020,max
liao2020,min
lozano2017,max
luo2017,min
riley2025,min
mansini2020,max
martello1999,max
martin-iradi2024,min
mehrotra1996,min
mingozzi1999,min
arslan2021,min
hassannayebi2016,min
morrison2016,min
nagy2015,min
oliveira2020,min
earl2005,min
ozturk2020,min
pecin2017,min
pedersen2024,min
pessoa2021,min
pettersson2020,min
pinnoi1997,min
potthoff2010,min
rahimian2017,min
rahmaniani2017,min
rahmaniani2018,min
rahmaniani2020,min
rahmaniani2022,min
reihaneh2019,min
reinhardt2016,min
ribeiro1994,min
roberti2015,min
roberti2018,min
roberti2021,min
ropke2009,min
roshanaei2017,min
rostami2021,min
rothenbacher2018,min
rothenbacher2019,min
ruiz2007,min
sadykov2013,min
salemi2022,min
sansegundo2023,max
savelsbergh1997,max
segundo2019,max
segundo2019b,max
seker2021,min
levin2017,min
song2021,min
spliet2015,min
he2020,min
muter2010,min
taninmis2022,min
cote2019,min
tran2018,max
sansegundo2016,max
vidal2011,min
walteros2020,max
wang2019,min
wang2025,max
watermeyer2020,min
watermeyer2022,min
watermeyer2023,min
wei2020,min
wei2020b,min
wu2018,min
wu2023,max
wu2022,min
xie2019,min
xu2024,min
yang2013,max
zetina2019,min
zetina2020,min
zhang2025,min
gangammanavar2020,min
belhoul2014,min
zohali2022,min
